======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   33 a= 14(BUILD:Road) r= +0.1836 cum=     -9.63 v= +4.8343 top5=[a43=0.027, a15=0.026, a8=0.025, a39=0.024, a17=0.024]
  s=   34 a= 14(BUILD:Road) r= +0.1897 cum=     -9.44 v= +5.0204 top5=[a43=0.028, a15=0.026, a8=0.025, a39=0.025, a30=0.025]
  s=   35 a= 10(BUILD:Refinery) r= -0.5407 cum=     -9.98 v= +5.5195 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   36 a= 19(BUILD:Mushroom) r= -3.8869 cum=    -13.87 v= +5.5083 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   37 a= 23(BUILD:Torchlight) r= -0.5437 cum=    -14.41 v= +5.4986 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   38 a= 22(BUILD:Apiary) r= -0.5508 cum=    -14.96 v= +5.4905 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   39 a= 15(BUILD:Fish) r= -3.9380 cum=    -18.90 v= +5.4850 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   40 a=  5(BUILD:House) r= -0.5519 cum=    -19.45 v= +5.4954 top5=[a43=0.029, a15=0.026, a30=0.025, a39=0.025, a8=0.025]
  s=   41 a= 10(BUILD:Refinery) r= -0.5602 cum=    -20.01 v= +5.5404 top5=[a43=0.029, a15=0.026, a8=0.025, a39=0.025, a30=0.025]
  s=   42 a= 14(BUILD:Road) r= -3.9865 cum=    -24.00 v= +5.6887 top5=[a43=0.029, a15=0.026, a8=0.026, a17=0.025, a39=0.025]
  s=   43 a= 41(MANAGER:7) r= -0.5608 cum=    -24.56 v= +5.8652 top5=[a43=0.029, a15=0.027, a8=0.026, a17=0.025, a14=0.025]
  s=   44 a= 24(BUILD:Hothouse) r= -0.5727 cum=    -25.13 v= +5.8763 top5=[a43=0.029, a15=0.027, a8=0.026, a14=0.025, a17=0.025]
  s=   45 a= 18(BUILD:CowFarm) r= -4.0323 cum=    -29.16 v= +5.9010 top5=[a43=0.029, a15=0.027, a8=0.026, a14=0.025, a17=0.025]
  s=   46 a= 24(BUILD:Hothouse) r= -0.5916 cum=    -29.75 v=+15.5792 top5=[a43=0.036, a15=0.036, a8=0.034, a11=0.031, a30=0.030]
  s=   47 a=  6(BUILD:SmallHouse) r= -0.6000 cum=    -30.35 v=+18.9587 top5=[a43=0.040, a27=0.033, a11=0.032, a9=0.031, a8=0.030]
  s=   48 a= 40(MANAGER:6) r= -4.0754 cum=    -34.43 v=+15.2277 top5=[a43=0.037, a15=0.031, a8=0.030, a11=0.029, a27=0.029]
  s=   49 a=  7(BUILD:Sawmill) r= -0.5993 cum=    -35.03 v=+13.4841 top5=[a43=0.036, a8=0.031, a15=0.031, a11=0.028, a23=0.028]
  s=   50 a= 36(MANAGER:2) r= -0.1482 cum=    -35.18 v=+12.5158 top5=[a43=0.036, a8=0.032, a15=0.031, a11=0.028, a23=0.027]
    state: year=0 month=4 season=0 money=1351 credit=53499 people=28 busy=0 free=28 home_places=70 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=8058 main_tax_amount=0 days_alive=51 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 House=1 SmallHouse=3 CowFarm=1 Puerperal=1 AirStation=1 | nw=1522601.4475
  s=   51 a= 35(MANAGER:1) r= +1.4406 cum=    -33.74 v=+12.4706 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a23=0.026]
  s=   52 a= 27(BUILD:WaterMill) r= -0.6187 cum=    -34.36 v=+12.1470 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a30=0.027]
  s=   53 a= 43(MANAGER:9) r= -0.6246 cum=    -34.98 v=+11.7355 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a30=0.027]
  s=   54 a=  5(BUILD:House) r= -4.2000 cum=    -39.18 v=+11.4070 top5=[a43=0.034, a8=0.032, a15=0.030, a11=0.028, a30=0.027]
  s=   55 a= 35(MANAGER:1) r= +4.1559 cum=    -35.02 v=+11.6890 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a30=0.027]
  s=   56 a= 44(MANAGER:10) r= -0.0195 cum=    -35.04 v=+11.6843 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a30=0.028]
  s=   57 a= 40(MANAGER:6) r= -4.0859 cum=    -39.13 v=+11.4399 top5=[a43=0.035, a8=0.032, a15=0.030, a11=0.028, a30=0.028]
  s=   58 a= 35(MANAGER:1) r= -0.6283 cum=    -39.76 v=+11.2318 top5=[a43=0.035, a8=0.032, a15=0.030, a30=0.027, a11=0.027]
  s=   59 a= 21(BUILD:BigFarm) r= -0.6337 cum=    -40.39 v=+11.0644 top5=[a43=0.034, a8=0.032, a15=0.030, a30=0.027, a11=0.027]
  s=   60 a= 43(MANAGER:9) r= -4.1192 cum=    -44.51 v=+10.9302 top5=[a43=0.034, a8=0.032, a15=0.030, a30=0.027, a11=0.027]
  s=   61 a= 23(BUILD:Torchlight) r= -0.6363 cum=    -45.15 v= +8.5611 top5=[a43=0.029, a8=0.029, a15=0.029, a23=0.027, a11=0.027]
  s=   62 a= 37(MANAGER:3) r= -4.1189 cum=    -49.27 v= +8.4254 top5=[a43=0.029, a8=0.029, a15=0.029, a11=0.027, a23=0.027]
  s=   63 a= 20(BUILD:BigHouse) r= -4.0892 cum=    -53.36 v=+10.0036 top5=[a43=0.032, a23=0.030, a15=0.030, a8=0.029, a30=0.029]
  s=   64 a= 38(MANAGER:4) r= -0.6350 cum=    -53.99 v= +9.6222 top5=[a43=0.031, a15=0.030, a23=0.029, a8=0.029, a30=0.029]
  s=   65 a= 12(BUILD:PowerStation) r= +0.3580 cum=    -53.63 v= +9.3506 top5=[a43=0.031, a15=0.030, a8=0.029, a23=0.029, a30=0.028]
  s=   66 a=  2(BUILD:WaterChannel) r= -0.6392 cum=    -54.27 v= +8.8908 top5=[a43=0.030, a15=0.030, a8=0.029, a23=0.028, a30=0.028]
  s=   67 a= 33(BUILD:AtomStation) r= -4.1480 cum=    -58.42 v= +8.7314 top5=[a43=0.030, a15=0.029, a8=0.029, a23=0.028, a30=0.027]
  s=   68 a= 42(MANAGER:8) r= -0.5394 cum=    -58.96 v= +8.5972 top5=[a43=0.030, a15=0.029, a8=0.029, a23=0.027, a30=0.027]
  s=   69 a=  4(BUILD:Garden) r= -0.8003 cum=    -59.76 v= +9.8450 top5=[a43=0.033, a15=0.030, a8=0.029, a30=0.028, a11=0.027]
  s=   70 a=  1(WEEK) r= -4.1791 cum=    -63.94 v= +9.6304 top5=[a43=0.033, a15=0.030, a8=0.029, a30=0.028, a11=0.027]
  s=   71 a= 11(BUILD:Goldmine) r= -0.9638 cum=    -64.90 v=+10.0899 top5=[a43=0.034, a15=0.030, a8=0.030, a30=0.028, a11=0.028]
  s=   72 a= 17(BUILD:HuntingLand) r= -0.9829 cum=    -65.88 v= +9.9045 top5=[a43=0.034, a15=0.030, a8=0.030, a30=0.028, a11=0.027]
  s=   73 a=  0(DAY) r= -4.2091 cum=    -70.09 v= +9.7323 top5=[a43=0.034, a15=0.030, a8=0.030, a30=0.028, a11=0.027]
  s=   74 a=  4(BUILD:Garden) r= -0.9857 cum=    -71.08 v= +9.5779 top5=[a43=0.034, a15=0.030, a8=0.030, a30=0.028, a11=0.027]
  s=   75 a= 36(MANAGER:2) r= -0.3607 cum=    -71.44 v= +9.4383 top5=[a43=0.034, a15=0.030, a8=0.029, a30=0.028, a11=0.027]
  s=   76 a= 27(BUILD:WaterMill) r= -4.2365 cum=    -75.68 v= +9.3339 top5=[a43=0.034, a15=0.030, a8=0.029, a30=0.028, a11=0.027]
  s=   77 a= 11(BUILD:Goldmine) r= -1.0077 cum=    -76.68 v= +9.2193 top5=[a43=0.034, a15=0.029, a8=0.029, a30=0.028, a11=0.027]
  s=   78 a=  7(BUILD:Sawmill) r= -1.0069 cum=    -77.69 v= +9.1164 top5=[a43=0.033, a15=0.029, a8=0.029, a30=0.028, a11=0.027]
  s=   79 a= 30(BUILD:BigIronmine) r= -4.2641 cum=    -81.96 v= +9.0244 top5=[a43=0.033, a15=0.029, a8=0.029, a30=0.028, a11=0.027]
  s=   80 a= 25(BUILD:SuperHouse) r= -1.0104 cum=    -82.97 v= +8.9402 top5=[a43=0.033, a8=0.029, a15=0.029, a30=0.028, a11=0.027]
  s=   81 a= 37(MANAGER:3) r= -4.2650 cum=    -87.23 v= +8.8623 top5=[a43=0.033, a8=0.029, a15=0.029, a30=0.028, a11=0.027]
  s=   82 a= 14(BUILD:Road) r= -0.1920 cum=    -87.42 v= +8.4318 top5=[a43=0.033, a15=0.029, a8=0.029, a30=0.027, a11=0.027]
  s=   83 a= 23(BUILD:Torchlight) r= -1.0130 cum=    -88.44 v= +8.4399 top5=[a43=0.033, a8=0.029, a15=0.029, a30=0.027, a11=0.026]
  s=   84 a=  3(BUILD:Farm) r= +4.0604 cum=    -84.38 v= +8.3834 top5=[a43=0.033, a8=0.029, a15=0.028, a30=0.027, a11=0.026]
  s=   85 a= 20(BUILD:BigHouse) r= -1.0021 cum=    -85.38 v= +8.6836 top5=[a43=0.033, a8=0.029, a15=0.029, a24=0.027, a11=0.027]
  s=   86 a= 16(BUILD:CoalCut) r= -4.2244 cum=    -89.60 v=+20.6496 top5=[a11=0.078, a43=0.078, a34=0.060, a27=0.049, a24=0.046]
  s=   87 a= 43(MANAGER:9) r= -1.0003 cum=    -90.60 v=+17.4477 top5=[a43=0.060, a11=0.053, a34=0.050, a27=0.042, a15=0.038]
  s=   88 a= 16(BUILD:CoalCut) r= -1.0063 cum=    -91.61 v=+15.7468 top5=[a43=0.052, a34=0.044, a11=0.044, a27=0.038, a24=0.035]
  s=   89 a= 17(BUILD:HuntingLand) r= -4.2509 cum=    -95.86 v=+14.5271 top5=[a43=0.048, a34=0.040, a11=0.039, a27=0.035, a24=0.033]
  s=   90 a= 40(MANAGER:6) r= -1.0134 cum=    -96.87 v=+13.6457 top5=[a43=0.044, a34=0.039, a11=0.038, a27=0.033, a24=0.031]
  s=   91 a= 41(MANAGER:7) r= -1.0046 cum=    -97.88 v=+13.1049 top5=[a43=0.042, a34=0.037, a11=0.035, a27=0.031, a15=0.030]
  s=   92 a= 30(BUILD:BigIronmine) r= -4.2764 cum=   -102.15 v=+12.4959 top5=[a43=0.041, a34=0.035, a11=0.034, a39=0.031, a27=0.030]
  s=   93 a= 38(MANAGER:4) r= +1.5287 cum=   -100.63 v=+11.9843 top5=[a43=0.040, a34=0.034, a11=0.033, a39=0.031, a15=0.029]
