======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   30 a= 12(BUILD:PowerStation) r= +0.6654 cum=     +0.75 v= +8.6139 top5=[a43=0.030, a15=0.029, a8=0.028, a14=0.027, a30=0.027] [BUILD: PowerStation]
  s=   31 a= 29(BUILD:Puerperal) r= -0.2343 cum=     +0.51 v= +8.0417 top5=[a43=0.030, a15=0.028, a8=0.028, a30=0.027, a14=0.027] [BUILD: Puerperal]
  s=   32 a= 15(BUILD:Fish) r= -3.7375 cum=     -3.23 v= +7.6866 top5=[a43=0.029, a15=0.028, a8=0.028, a30=0.027, a14=0.027] [BUILD FAILED: Fish]
  s=   33 a= 19(BUILD:Mushroom) r= -0.2324 cum=     -3.46 v= +7.4018 top5=[a43=0.029, a15=0.028, a8=0.027, a30=0.027, a14=0.026] [BUILD: Mushroom]
  s=   34 a= 34(MANAGER:0) r= -0.2371 cum=     -3.69 v= +7.1684 top5=[a43=0.029, a15=0.028, a8=0.027, a30=0.026, a14=0.026]
  s=   35 a=  1(WEEK) r= -3.7448 cum=     -7.44 v= +6.9753 top5=[a43=0.029, a15=0.028, a8=0.027, a30=0.026, a14=0.026]
  s=   36 a= 23(BUILD:Torchlight) r= -0.2480 cum=     -7.69 v= +9.7215 top5=[a43=0.032, a8=0.030, a15=0.030, a14=0.027, a30=0.027] [BUILD: Torchlight]
  s=   37 a= 24(BUILD:Hothouse) r= -0.2505 cum=     -7.94 v= +9.1962 top5=[a43=0.031, a8=0.030, a15=0.029, a14=0.027, a30=0.027] [BUILD: Hothouse]
  s=   38 a= 43(MANAGER:9) r= -3.8486 cum=    -11.79 v= +8.8443 top5=[a43=0.031, a8=0.029, a15=0.029, a14=0.027, a30=0.027]
  s=   39 a=  4(BUILD:Garden) r= -0.2494 cum=    -12.04 v= +8.5751 top5=[a43=0.031, a8=0.029, a15=0.029, a14=0.027, a30=0.027] [BUILD: Garden]
  s=   40 a=  2(BUILD:WaterChannel) r= -0.2524 cum=    -12.29 v= +8.3566 top5=[a43=0.031, a8=0.029, a15=0.029, a14=0.027, a30=0.026] [BUILD: WaterChannel]
  s=   41 a= 30(BUILD:BigIronmine) r= -3.8976 cum=    -16.19 v= +8.1823 top5=[a43=0.030, a15=0.029, a8=0.029, a14=0.027, a30=0.026] [BUILD FAILED: BigIronmine]
  s=   42 a= 22(BUILD:Apiary) r= -0.2513 cum=    -16.44 v= +8.0533 top5=[a43=0.030, a15=0.029, a8=0.029, a14=0.027, a30=0.026] [BUILD: Apiary]
  s=   43 a= 24(BUILD:Hothouse) r= -0.2556 cum=    -16.69 v= +7.9505 top5=[a43=0.030, a15=0.029, a8=0.029, a14=0.027, a30=0.026] [BUILD: Hothouse]
  s=   44 a= 33(BUILD:AtomStation) r= -3.9433 cum=    -20.64 v= +7.8609 top5=[a43=0.030, a15=0.029, a8=0.029, a14=0.027, a30=0.026] [BUILD FAILED: AtomStation]
  s=   45 a=  6(BUILD:SmallHouse) r= -0.2521 cum=    -20.89 v= +7.7826 top5=[a43=0.030, a8=0.029, a15=0.029, a14=0.026, a30=0.026] [BUILD: SmallHouse]
  s=   46 a= 21(BUILD:BigFarm) r= -0.2398 cum=    -21.13 v= +7.7149 top5=[a43=0.030, a8=0.029, a15=0.029, a14=0.026, a30=0.026] [BUILD: BigFarm]
  s=   47 a=  1(WEEK) r= -3.9857 cum=    -25.11 v= +8.2264 top5=[a43=0.030, a15=0.029, a8=0.029, a39=0.027, a14=0.026]
  s=   48 a= 34(MANAGER:0) r= -0.2714 cum=    -25.39 v= +6.6145 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.027, a19=0.026]
  s=   49 a= 27(BUILD:WaterMill) r= -0.2717 cum=    -25.66 v= +6.5175 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.027, a19=0.026] [BUILD: WaterMill]
  s=   50 a=  0(DAY) r= -3.9038 cum=    -29.56 v= +6.4348 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.027, a19=0.026]
    state: year=0 month=5 season=0 money=3452 credit=0 people=28 busy=0 free=28 home_places=130 need_workers=4 tax_due=0 main_tax_due=0 tax_amount=7634 main_tax_amount=0 days_alive=69 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Garden=1 Road=1 House=1 SmallHouse=1 Hothouse=3 | nw=1531173.6040
  s=   51 a= 24(BUILD:Hothouse) r= -0.2731 cum=    -29.83 v= +6.3627 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.027, a19=0.026] [BUILD: Hothouse]
