======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   29 a= 25(BUILD:SuperHouse) r= -4.0600 cum=    -26.78 v= +7.8603 top5=[a43=0.031, a8=0.030, a15=0.030, a17=0.026, a14=0.026] [BUILD FAILED: SuperHouse]
  s=   30 a= 32(BUILD:SmallAtomStation) r= -0.2485 cum=    -27.03 v= +7.5079 top5=[a43=0.030, a8=0.029, a15=0.029, a17=0.026, a30=0.026] [BUILD: SmallAtomStation]
  s=   31 a=  9(BUILD:Ironmine) r= -0.2521 cum=    -27.28 v= +5.6084 top5=[a43=0.027, a15=0.027, a8=0.027, a17=0.025, a24=0.025] [BUILD: Ironmine]
  s=   32 a=  8(BUILD:Coalmine) r= -4.1289 cum=    -31.41 v= +5.3815 top5=[a43=0.027, a15=0.027, a8=0.026, a17=0.025, a24=0.025] [BUILD FAILED: Coalmine]
  s=   33 a=  7(BUILD:Sawmill) r= -0.2567 cum=    -31.67 v= +5.1915 top5=[a43=0.027, a15=0.027, a8=0.026, a24=0.025, a17=0.025] [BUILD: Sawmill]
  s=   34 a= 13(BUILD:HydroStation) r= -0.2561 cum=    -31.92 v= +5.0289 top5=[a43=0.027, a15=0.026, a8=0.026, a24=0.025, a17=0.025] [BUILD: HydroStation]
  s=   35 a= 30(BUILD:BigIronmine) r= -4.1879 cum=    -36.11 v= +4.8942 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD FAILED: BigIronmine]
  s=   36 a=  4(BUILD:Garden) r= -0.2524 cum=    -36.36 v= +4.7767 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD: Garden]
  s=   37 a= 26(BUILD:BigSawmill) r= -0.2595 cum=    -36.62 v= +4.6819 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD: BigSawmill]
  s=   38 a= 32(BUILD:SmallAtomStation) r= -4.2386 cum=    -40.86 v= +4.6310 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD FAILED: SmallAtomStation]
  s=   39 a= 22(BUILD:Apiary) r= -0.2596 cum=    -41.12 v= +4.6010 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD: Apiary]
  s=   40 a= 11(BUILD:Goldmine) r= -0.2624 cum=    -41.38 v= +4.5791 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.025, a24=0.025] [BUILD: Goldmine]
  s=   41 a=  5(BUILD:House) r= -4.2826 cum=    -45.66 v= +4.5636 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.025] [BUILD FAILED: House]
  s=   42 a=  9(BUILD:Ironmine) r= -0.2623 cum=    -45.93 v= +4.5533 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.025] [BUILD: Ironmine]
  s=   43 a= 24(BUILD:Hothouse) r= -0.2650 cum=    -46.19 v= +4.5526 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.024] [BUILD: Hothouse]
  s=   44 a= 18(BUILD:CowFarm) r= -4.3210 cum=    -50.51 v= +4.5584 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.024] [BUILD FAILED: CowFarm]
  s=   45 a= 44(MANAGER:10) r= +0.3765 cum=    -50.14 v= +4.5731 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.024]
  s=   46 a= 12(BUILD:PowerStation) r= +0.7879 cum=    -49.35 v= +4.6005 top5=[a43=0.027, a8=0.026, a15=0.026, a17=0.025, a24=0.024] [BUILD: PowerStation]
  s=   47 a= 31(BUILD:AirStation) r= -0.2676 cum=    -49.62 v= +4.2986 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.024, a24=0.024] [BUILD: AirStation]
  s=   48 a=  1(WEEK) r= -4.2446 cum=    -53.86 v= +4.3304 top5=[a43=0.027, a15=0.026, a8=0.026, a17=0.024, a24=0.024]
  s=   49 a=  8(BUILD:Coalmine) r= -0.2675 cum=    -54.13 v= +5.2666 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025] [BUILD: Coalmine]
  s=   50 a= 43(MANAGER:9) r= -0.2698 cum=    -54.40 v= +5.3052 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025]
    state: year=0 month=4 season=0 money=5015 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=5 tax_due=0 main_tax_due=0 tax_amount=5954 main_tax_amount=0 days_alive=57 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Road=1 BigHouse=1 Apiary=1 | nw=1531468.5069
  s=   51 a=  8(BUILD:Coalmine) r= -4.3934 cum=    -58.79 v= +5.3463 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025] [BUILD FAILED: Coalmine]
  s=   52 a=  9(BUILD:Ironmine) r= -0.2693 cum=    -59.06 v= +5.3863 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025] [BUILD: Ironmine]
  s=   53 a= 34(MANAGER:0) r= -0.2714 cum=    -59.33 v= +5.4229 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025]
  s=   54 a= 31(BUILD:AirStation) r= -4.4172 cum=    -63.75 v= +5.4558 top5=[a43=0.028, a8=0.027, a15=0.027, a17=0.025, a30=0.025] [BUILD FAILED: AirStation]
  s=   55 a= 21(BUILD:BigFarm) r= -0.2708 cum=    -64.02 v= +4.1000 top5=[a43=0.026, a8=0.025, a15=0.025, a24=0.024, a23=0.024] [BUILD: BigFarm]
  s=   56 a= 41(MANAGER:7) r= -0.2729 cum=    -64.29 v= +4.0330 top5=[a43=0.026, a8=0.025, a15=0.025, a24=0.024, a23=0.024]
  s=   57 a= 38(MANAGER:4) r= -2.9381 cum=    -67.23 v= +3.9671 top5=[a43=0.026, a8=0.025, a15=0.025, a24=0.024, a17=0.024]
  s=   58 a=  4(BUILD:Garden) r= -0.2757 cum=    -67.51 v= +4.9564 top5=[a15=0.026, a43=0.026, a8=0.025, a11=0.025, a27=0.024] [BUILD: Garden]
  s=   59 a= 35(MANAGER:1) r= +0.3444 cum=    -67.16 v= +4.9072 top5=[a15=0.026, a43=0.026, a8=0.025, a11=0.025, a27=0.024]
  s=   60 a=  7(BUILD:Sawmill) r= -4.5042 cum=    -71.67 v= +4.9045 top5=[a43=0.026, a15=0.026, a8=0.025, a11=0.024, a27=0.024] [BUILD FAILED: Sawmill]
  s=   61 a= 44(MANAGER:10) r= +0.3925 cum=    -71.27 v= +4.8645 top5=[a43=0.026, a15=0.026, a8=0.025, a11=0.024, a18=0.024]
  s=   62 a= 15(BUILD:Fish) r= -0.2772 cum=    -71.55 v= +4.8278 top5=[a43=0.026, a15=0.026, a8=0.025, a11=0.024, a18=0.024] [BUILD: Fish]
  s=   63 a= 17(BUILD:HuntingLand) r= -4.5061 cum=    -76.06 v= +4.8073 top5=[a43=0.026, a15=0.026, a8=0.025, a11=0.024, a18=0.024] [BUILD FAILED: HuntingLand]
