======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   33 a= 26(BUILD:BigSawmill) r= -0.3083 cum=    +10.53 v= +4.1383 top5=[a43=0.027, a15=0.026, a8=0.025, a17=0.024, a14=0.024]
  s=   34 a=  0(DAY) r= +0.1553 cum=    +10.68 v= +4.1364 top5=[a43=0.027, a15=0.026, a8=0.025, a17=0.024, a14=0.024]
  s=   35 a=  0(DAY) r= +0.1585 cum=    +10.84 v= +4.1614 top5=[a43=0.027, a15=0.026, a8=0.025, a17=0.024, a14=0.024]
  s=   36 a= 18(BUILD:CowFarm) r= -0.3078 cum=    +10.53 v= +4.1924 top5=[a43=0.027, a15=0.026, a8=0.025, a14=0.024, a17=0.024]
  s=   37 a= 39(MANAGER:5) r= -0.3314 cum=    +10.20 v= +4.2264 top5=[a43=0.027, a15=0.026, a8=0.025, a14=0.024, a17=0.024]
  s=   38 a= 27(BUILD:WaterMill) r= -0.3352 cum=     +9.87 v= +4.2590 top5=[a43=0.027, a15=0.026, a8=0.025, a14=0.024, a17=0.024]
  s=   39 a=  8(BUILD:Coalmine) r= -0.3322 cum=     +9.54 v= +4.2933 top5=[a43=0.027, a15=0.026, a8=0.025, a14=0.024, a17=0.024]
  s=   40 a= 24(BUILD:Hothouse) r= -2.8263 cum=     +6.71 v= +4.3356 top5=[a43=0.027, a15=0.026, a8=0.025, a14=0.024, a17=0.024]
  s=   41 a= 38(MANAGER:4) r= +1.6469 cum=     +8.36 v= +9.8974 top5=[a43=0.031, a8=0.030, a15=0.029, a11=0.027, a14=0.026]
  s=   42 a= 25(BUILD:SuperHouse) r= -0.3480 cum=     +8.01 v=+15.5937 top5=[a43=0.038, a8=0.037, a14=0.032, a11=0.032, a30=0.029]
  s=   43 a= 17(BUILD:HuntingLand) r= -0.3437 cum=     +7.66 v=+12.3451 top5=[a8=0.035, a43=0.034, a14=0.029, a11=0.029, a39=0.028]
  s=   44 a=  5(BUILD:House) r= -0.3483 cum=     +7.32 v=+10.9469 top5=[a8=0.034, a43=0.033, a14=0.028, a39=0.028, a11=0.028]
  s=   45 a= 17(BUILD:HuntingLand) r= -0.3529 cum=     +6.96 v=+10.1375 top5=[a8=0.033, a43=0.032, a14=0.027, a39=0.027, a11=0.027]
  s=   46 a= 35(MANAGER:1) r= -0.3482 cum=     +6.62 v= +9.5986 top5=[a8=0.032, a43=0.032, a39=0.027, a14=0.027, a11=0.027]
  s=   47 a=  2(BUILD:WaterChannel) r= -0.3632 cum=     +6.25 v= +9.2122 top5=[a8=0.032, a43=0.032, a39=0.027, a14=0.027, a15=0.027]
  s=   48 a=  8(BUILD:Coalmine) r= -0.3621 cum=     +5.89 v= +8.9192 top5=[a43=0.032, a8=0.031, a15=0.027, a39=0.027, a14=0.027]
  s=   49 a= 16(BUILD:CoalCut) r= -0.3728 cum=     +5.52 v= +8.6953 top5=[a43=0.032, a8=0.031, a15=0.027, a39=0.027, a14=0.026]
  s=   50 a= 30(BUILD:BigIronmine) r= -3.0658 cum=     +2.45 v= +8.5151 top5=[a43=0.031, a8=0.031, a15=0.027, a39=0.027, a14=0.026]
    state: year=0 month=4 season=0 money=266 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=5 tax_due=0 main_tax_due=0 tax_amount=7214 main_tax_amount=0 days_alive=57 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=1 Garden=1 SmallHouse=1 AirStation=2 | nw=1531081.4182
  s=   51 a= 35(MANAGER:1) r= -0.3681 cum=     +2.08 v= +8.3647 top5=[a43=0.031, a8=0.031, a15=0.027, a39=0.026, a14=0.026]
  s=   52 a= 26(BUILD:BigSawmill) r= -0.3657 cum=     +1.72 v= +8.2291 top5=[a43=0.031, a8=0.031, a15=0.027, a39=0.026, a14=0.026]
  s=   53 a= 43(MANAGER:9) r= -0.3689 cum=     +1.35 v= +8.1103 top5=[a43=0.031, a8=0.030, a15=0.027, a39=0.026, a14=0.026]
  s=   54 a= 36(MANAGER:2) r= -0.3709 cum=     +0.98 v= +8.0053 top5=[a43=0.031, a8=0.030, a15=0.027, a39=0.026, a14=0.026]
  s=   55 a= 26(BUILD:BigSawmill) r= -0.3678 cum=     +0.61 v= +6.1484 top5=[a43=0.028, a8=0.028, a15=0.026, a11=0.025, a30=0.025]
  s=   56 a= 25(BUILD:SuperHouse) r= -0.3935 cum=     +0.22 v= +6.0612 top5=[a43=0.028, a8=0.028, a15=0.026, a11=0.025, a30=0.025]
  s=   57 a= 23(BUILD:Torchlight) r= -0.3836 cum=     -0.17 v= +5.9834 top5=[a43=0.028, a8=0.028, a15=0.026, a11=0.025, a30=0.025]
  s=   58 a=  2(BUILD:WaterChannel) r= -0.3836 cum=     -0.55 v= +5.9169 top5=[a43=0.028, a8=0.028, a15=0.026, a11=0.025, a30=0.025]
  s=   59 a= 15(BUILD:Fish) r= -0.4023 cum=     -0.95 v= +5.8607 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   60 a= 21(BUILD:BigFarm) r= -3.2580 cum=     -4.21 v= +5.8130 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   61 a= 21(BUILD:BigFarm) r= -0.3834 cum=     -4.59 v= +5.7706 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   62 a= 40(MANAGER:6) r= +0.3058 cum=     -4.29 v= +5.7345 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   63 a= 38(MANAGER:4) r= +1.8866 cum=     -2.40 v= +5.6942 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   64 a= 22(BUILD:Apiary) r= -0.3963 cum=     -2.80 v= +5.6107 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a11=0.025]
  s=   65 a= 11(BUILD:Goldmine) r= -0.3914 cum=     -3.19 v= +5.5872 top5=[a43=0.029, a8=0.027, a15=0.026, a30=0.025, a39=0.025]
  s=   66 a= 17(BUILD:HuntingLand) r= -0.3942 cum=     -3.58 v= +5.5705 top5=[a43=0.028, a8=0.027, a15=0.026, a30=0.025, a39=0.025]
  s=   67 a= 40(MANAGER:6) r= -0.3970 cum=     -3.98 v= +5.5881 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   68 a= 22(BUILD:Apiary) r= -0.4010 cum=     -4.38 v= +5.6090 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   69 a= 44(MANAGER:10) r= +0.4875 cum=     -3.89 v= +5.6343 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   70 a= 27(BUILD:WaterMill) r= -3.3586 cum=     -7.25 v= +5.6652 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   71 a= 30(BUILD:BigIronmine) r= -0.3953 cum=     -7.65 v= +5.6984 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   72 a= 10(BUILD:Refinery) r= -0.4068 cum=     -8.05 v= +5.7358 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.025, a39=0.025]
  s=   73 a=  9(BUILD:Ironmine) r= -0.4027 cum=     -8.46 v= +5.7753 top5=[a43=0.029, a8=0.028, a15=0.026, a39=0.025, a30=0.025]
  s=   74 a= 23(BUILD:Torchlight) r= -0.4184 cum=     -8.88 v= +5.8163 top5=[a43=0.029, a8=0.028, a15=0.026, a39=0.025, a30=0.025]
  s=   75 a= 29(BUILD:Puerperal) r= -0.4160 cum=     -9.29 v= +5.8554 top5=[a43=0.029, a8=0.028, a15=0.026, a39=0.025, a30=0.025]
  s=   76 a= 37(MANAGER:3) r= -6.0053 cum=    -15.30 v= +5.8939 top5=[a43=0.029, a8=0.028, a15=0.026, a39=0.025, a30=0.025]
  s=   77 a= 22(BUILD:Apiary) r= -0.3795 cum=    -15.68 v= +6.0133 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.026, a14=0.025]
  s=   78 a=  7(BUILD:Sawmill) r= -0.3819 cum=    -16.06 v= +6.0540 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.026, a14=0.025]
  s=   79 a= 10(BUILD:Refinery) r= -0.3997 cum=    -16.46 v= +6.0931 top5=[a43=0.028, a8=0.028, a15=0.026, a30=0.026, a14=0.025]
  s=   80 a= 42(MANAGER:8) r= -3.1118 cum=    -19.57 v= +6.1310 top5=[a43=0.029, a8=0.028, a15=0.026, a30=0.026, a14=0.025]
  s=   81 a=  5(BUILD:House) r= -0.8155 cum=    -20.39 v= +8.8392 top5=[a43=0.035, a15=0.029, a11=0.028, a30=0.028, a25=0.027]
  s=   82 a=  4(BUILD:Garden) r= -0.8201 cum=    -21.21 v= +8.6806 top5=[a43=0.035, a15=0.029, a11=0.028, a30=0.028, a25=0.027]
  s=   83 a=  1(WEEK) r= -1.2045 cum=    -22.41 v= +8.5396 top5=[a43=0.035, a15=0.029, a11=0.028, a30=0.028, a25=0.027]
  s=   84 a= 27(BUILD:WaterMill) r= -0.8163 cum=    -23.23 v=+16.3181 top5=[a11=0.079, a43=0.068, a24=0.052, a34=0.049, a15=0.046]
  s=   85 a= 10(BUILD:Refinery) r= -0.8287 cum=    -24.06 v=+12.5858 top5=[a11=0.065, a24=0.053, a43=0.049, a27=0.041, a14=0.038]
  s=   86 a= 38(MANAGER:4) r= -0.8332 cum=    -24.89 v=+12.4647 top5=[a11=0.053, a43=0.046, a24=0.046, a27=0.037, a14=0.036]
