======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   37 a= 22 r= -0.4041 cum=     +5.47 v=+24.3584 top5=[a11=0.034, a39=0.034, a1=0.034, a43=0.032, a28=0.031]
  s=   38 a= 23 r= -0.3956 cum=     +5.07 v=+22.9760 top5=[a11=0.032, a1=0.032, a43=0.032, a28=0.031, a39=0.028]
  s=   39 a=  0 r= -2.6828 cum=     +2.39 v=+21.7978 top5=[a43=0.032, a11=0.032, a1=0.031, a28=0.030, a3=0.027]
  s=   40 a= 15 r= -0.4007 cum=     +1.99 v=+20.9505 top5=[a43=0.032, a11=0.031, a1=0.031, a28=0.029, a18=0.027]
  s=   41 a= 29 r= -0.3974 cum=     +1.59 v=+20.3253 top5=[a43=0.032, a1=0.031, a11=0.030, a28=0.029, a18=0.027]
  s=   42 a= 11 r= -0.3962 cum=     +1.19 v=+19.7922 top5=[a43=0.032, a1=0.030, a11=0.030, a28=0.028, a18=0.027]
  s=   43 a= 25 r= -0.4037 cum=     +0.79 v=+19.3837 top5=[a43=0.031, a1=0.030, a11=0.030, a28=0.028, a18=0.027]
  s=   44 a=  2 r= -0.4159 cum=     +0.37 v=+19.0929 top5=[a43=0.031, a1=0.030, a11=0.029, a28=0.028, a18=0.027]
  s=   45 a= 21 r= -0.4144 cum=     -0.04 v=+18.8826 top5=[a43=0.031, a1=0.030, a11=0.029, a28=0.028, a18=0.027]
  s=   46 a=  6 r= -0.4185 cum=     -0.46 v=+18.7239 top5=[a43=0.031, a1=0.030, a11=0.029, a28=0.028, a18=0.027]
  s=   47 a= 25 r= -0.4226 cum=     -0.88 v=+18.5920 top5=[a43=0.031, a1=0.030, a11=0.029, a28=0.028, a18=0.027]
  s=   48 a=  9 r= -0.4266 cum=     -1.31 v=+18.5063 top5=[a43=0.031, a1=0.030, a11=0.029, a28=0.028, a18=0.027]
  s=   49 a= 17 r= -3.5099 cum=     -4.82 v=+19.0630 top5=[a43=0.032, a1=0.029, a11=0.028, a28=0.027, a36=0.027]
  s=   50 a= 23 r= -0.4087 cum=     -5.23 v=+18.5906 top5=[a43=0.032, a1=0.029, a11=0.027, a28=0.027, a36=0.027]
    state: year=0 month=5 season=0 money=9 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=6794 main_tax_amount=0 days_alive=63 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Road=1 Apiary=1 AirStation=3 | nw=1531006.4959
  s=   51 a= 22 r= -0.4206 cum=     -5.65 v=+18.1304 top5=[a43=0.032, a1=0.029, a11=0.027, a28=0.027, a36=0.027]
  s=   52 a= 25 r= -0.4245 cum=     -6.07 v=+17.7140 top5=[a43=0.032, a1=0.029, a28=0.027, a11=0.027, a36=0.027]
  s=   53 a= 10 r= -0.4365 cum=     -6.51 v=+17.3339 top5=[a43=0.031, a1=0.029, a28=0.027, a11=0.027, a36=0.027]
