======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   33 a= 22(BUILD:Apiary) r= -0.3031 cum=    +16.24 v=+17.1050 top5=[a38=0.037, a44=0.035, a29=0.034, a39=0.034, a15=0.031]
  s=   34 a= 11(BUILD:Goldmine) r= -0.3068 cum=    +15.93 v=+17.0220 top5=[a38=0.036, a29=0.035, a44=0.034, a39=0.034, a15=0.031]
  s=   35 a=  5(BUILD:House) r= -0.3105 cum=    +15.62 v=+16.9346 top5=[a38=0.037, a29=0.035, a44=0.034, a39=0.034, a12=0.031]
  s=   36 a= 40(MANAGER:6) r= -0.3238 cum=    +15.30 v=+23.5027 top5=[a39=0.046, a38=0.045, a44=0.041, a12=0.041, a29=0.040]
  s=   37 a= 16(BUILD:CoalCut) r= -0.3255 cum=    +14.97 v=+22.3358 top5=[a38=0.045, a39=0.044, a12=0.040, a44=0.040, a29=0.038]
  s=   38 a= 19(BUILD:Mushroom) r= -0.3311 cum=    +14.64 v=+21.5528 top5=[a38=0.044, a39=0.043, a44=0.039, a12=0.039, a29=0.037]
  s=   39 a= 12(BUILD:PowerStation) r= +0.9387 cum=    +15.58 v=+20.9936 top5=[a38=0.044, a39=0.043, a44=0.039, a12=0.038, a29=0.037]
  s=   40 a=  0(DAY) r= +0.1921 cum=    +15.77 v=+21.8309 top5=[a38=0.044, a39=0.042, a44=0.038, a12=0.038, a29=0.037]
  s=   41 a=  0(DAY) r= +5.2946 cum=    +21.07 v=+21.2346 top5=[a38=0.046, a39=0.043, a44=0.040, a29=0.038, a12=0.037]
  s=   42 a= 39(MANAGER:5) r= +1.6523 cum=    +22.72 v=+22.6575 top5=[a38=0.049, a39=0.045, a44=0.041, a12=0.040, a29=0.037]
  s=   43 a= 33(BUILD:AtomStation) r= -0.3439 cum=    +22.38 v=+20.7004 top5=[a38=0.049, a39=0.043, a12=0.041, a44=0.040, a29=0.037]
  s=   44 a= 30(BUILD:BigIronmine) r= -0.3401 cum=    +22.04 v=+20.5810 top5=[a38=0.048, a39=0.043, a12=0.041, a44=0.040, a29=0.037]
  s=   45 a=  4(BUILD:Garden) r= -0.3451 cum=    +21.69 v=+20.5272 top5=[a38=0.048, a39=0.043, a12=0.041, a44=0.040, a29=0.037]
  s=   46 a=  4(BUILD:Garden) r= -0.3363 cum=    +21.35 v=+21.0158 top5=[a38=0.050, a39=0.044, a44=0.043, a12=0.042, a29=0.039]
  s=   47 a= 38(MANAGER:4) r= +1.7344 cum=    +23.09 v=+21.0599 top5=[a38=0.049, a39=0.044, a44=0.043, a12=0.042, a29=0.040]
  s=   48 a=  1(WEEK) r= -2.7279 cum=    +20.36 v=+22.4609 top5=[a38=0.049, a39=0.045, a44=0.044, a12=0.041, a29=0.040]
  s=   49 a= 25(BUILD:SuperHouse) r= -0.3573 cum=    +20.00 v=+10.0515 top5=[a39=0.069, a38=0.063, a44=0.040, a35=0.036, a34=0.034]
  s=   50 a= 28(BUILD:BigRefinary) r= -0.3674 cum=    +19.64 v=+10.3590 top5=[a39=0.068, a38=0.062, a44=0.040, a35=0.036, a34=0.034]
    state: year=0 month=5 season=0 money=3680 credit=0 people=28 busy=3 free=25 home_places=50 need_workers=3 tax_due=0 main_tax_due=0 tax_amount=6786 main_tax_amount=0 days_alive=63 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Garden=1 Road=1 Apiary=1 Puerperal=1 AirStation=1 | nw=1531537.1190
  s=   51 a= 17(BUILD:HuntingLand) r= -0.3604 cum=    +19.28 v=+10.6273 top5=[a39=0.067, a38=0.060, a44=0.040, a35=0.036, a34=0.035]
  s=   52 a= 34(MANAGER:0) r= -0.3633 cum=    +18.91 v=+10.8698 top5=[a39=0.066, a38=0.059, a44=0.040, a35=0.036, a34=0.035]
