======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=    0 a= 22(BUILD:Apiary) r=+10.0000 cum=    +10.00 v= +6.8103 top5=[a43=0.030, a30=0.029, a15=0.028, a24=0.027, a36=0.026] [BUILD: Apiary]
    state: year=0 month=3 season=0 money=72615 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5526 main_tax_amount=0 days_alive=1 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Apiary=1 | nw=1532000.0000
  s=    1 a=  3(BUILD:Farm) r= +2.1056 cum=    +12.11 v= +7.8588 top5=[a43=0.031, a15=0.030, a30=0.029, a39=0.028, a8=0.027] [BUILD: Farm]
  s=    2 a= 39(MANAGER:5) r= -0.1447 cum=    +11.96 v= +6.7581 top5=[a43=0.030, a15=0.028, a8=0.027, a39=0.027, a30=0.027]
  s=    3 a= 34(MANAGER:0) r= -2.5509 cum=     +9.41 v= +5.6208 top5=[a43=0.029, a15=0.027, a30=0.027, a8=0.026, a39=0.026]
  s=    4 a=  5(BUILD:House) r= -0.1491 cum=     +9.26 v= +5.6384 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.026, a39=0.026] [BUILD: House]
  s=    5 a= 37(MANAGER:3) r= -0.1590 cum=     +9.10 v= +5.2442 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.026, a39=0.025]
  s=    6 a=  9(BUILD:Ironmine) r= -2.8053 cum=     +6.30 v= +4.9538 top5=[a43=0.028, a15=0.027, a30=0.026, a8=0.025, a39=0.025] [BUILD FAILED: Ironmine]
  s=    7 a= 18(BUILD:CowFarm) r= -0.1675 cum=     +6.13 v= +4.7475 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025] [BUILD: CowFarm]
  s=    8 a=  7(BUILD:Sawmill) r= -0.1761 cum=     +5.95 v= +4.5885 top5=[a43=0.027, a15=0.026, a30=0.025, a8=0.025, a39=0.025] [BUILD: Sawmill]
  s=    9 a= 27(BUILD:WaterMill) r= -3.0699 cum=     +2.88 v= +4.4653 top5=[a43=0.027, a15=0.026, a8=0.025, a30=0.025, a39=0.025] [BUILD FAILED: WaterMill]
  s=   10 a=  0(DAY) r= +0.1222 cum=     +3.01 v= +4.3695 top5=[a43=0.027, a15=0.026, a8=0.025, a30=0.025, a39=0.025]
  s=   11 a= 41(MANAGER:7) r= -0.5085 cum=     +2.50 v= +4.2949 top5=[a43=0.027, a15=0.026, a8=0.025, a30=0.025, a39=0.025]
  s=   12 a= 10(BUILD:Refinery) r= -3.2919 cum=     -0.80 v= +6.8995 top5=[a43=0.029, a8=0.028, a15=0.027, a30=0.026, a39=0.025] [BUILD FAILED: Refinery]
  s=   13 a= 15(BUILD:Fish) r= -0.1961 cum=     -0.99 v= +5.9676 top5=[a43=0.028, a8=0.027, a15=0.027, a30=0.026, a39=0.025] [BUILD: Fish]
  s=   14 a= 35(MANAGER:1) r= -0.2025 cum=     -1.19 v= +5.5749 top5=[a43=0.028, a8=0.027, a15=0.027, a30=0.025, a39=0.025]
  s=   15 a=  0(DAY) r= -3.3397 cum=     -4.53 v= +5.3369 top5=[a43=0.028, a8=0.027, a15=0.026, a30=0.025, a39=0.025]
  s=   16 a=  8(BUILD:Coalmine) r= -0.2075 cum=     -4.74 v= +5.1722 top5=[a43=0.028, a8=0.026, a15=0.026, a30=0.025, a39=0.025] [BUILD: Coalmine]
  s=   17 a= 39(MANAGER:5) r= -0.2131 cum=     -4.95 v= +5.0493 top5=[a43=0.028, a8=0.026, a15=0.026, a30=0.025, a39=0.025]
  s=   18 a=  2(BUILD:WaterChannel) r= +3.6446 cum=     -1.31 v= +4.9567 top5=[a43=0.028, a8=0.026, a15=0.026, a30=0.025, a39=0.025] [BUILD: WaterChannel]
  s=   19 a= 39(MANAGER:5) r= -0.2141 cum=     -1.52 v= +5.5728 top5=[a43=0.029, a8=0.027, a15=0.026, a39=0.026, a30=0.025]
  s=   20 a=  9(BUILD:Ironmine) r= -3.6513 cum=     -5.17 v= +5.4994 top5=[a43=0.029, a8=0.027, a15=0.026, a39=0.026, a30=0.025] [BUILD FAILED: Ironmine]
  s=   21 a= 42(MANAGER:8) r= -0.1286 cum=     -5.30 v= +5.5739 top5=[a43=0.029, a8=0.027, a15=0.026, a39=0.026, a14=0.025]
  s=   22 a= 11(BUILD:Goldmine) r= -0.4987 cum=     -5.80 v= +6.2376 top5=[a43=0.031, a8=0.028, a15=0.027, a39=0.027, a14=0.026] [BUILD: Goldmine]
  s=   23 a= 26(BUILD:BigSawmill) r= -3.7543 cum=     -9.56 v= +6.1094 top5=[a43=0.031, a8=0.028, a15=0.027, a39=0.026, a14=0.026] [BUILD FAILED: BigSawmill]
  s=   24 a= 10(BUILD:Refinery) r= -0.4788 cum=    -10.04 v= +5.9987 top5=[a43=0.030, a8=0.028, a15=0.026, a39=0.026, a14=0.026] [BUILD: Refinery]
  s=   25 a= 16(BUILD:CoalCut) r= -0.5197 cum=    -10.55 v= +9.4912 top5=[a43=0.033, a15=0.031, a8=0.031, a14=0.027, a39=0.027] [BUILD: CoalCut]
  s=   26 a= 36(MANAGER:2) r= -3.8456 cum=    -14.40 v= +9.9062 top5=[a8=0.034, a43=0.034, a15=0.033, a14=0.028, a24=0.028]
  s=   27 a= 15(BUILD:Fish) r= -0.5259 cum=    -14.93 v= +8.6667 top5=[a8=0.032, a43=0.032, a15=0.031, a17=0.027, a14=0.027] [BUILD: Fish]
  s=   28 a= 41(MANAGER:7) r= -0.5305 cum=    -15.46 v= +7.9691 top5=[a43=0.031, a8=0.031, a15=0.030, a17=0.027, a14=0.027]
  s=   29 a= 25(BUILD:SuperHouse) r= -3.9277 cum=    -19.38 v= +7.5165 top5=[a43=0.031, a8=0.030, a15=0.030, a17=0.026, a14=0.026] [BUILD FAILED: SuperHouse]
  s=   30 a=  6(BUILD:SmallHouse) r= -0.5372 cum=    -19.92 v= +7.2198 top5=[a43=0.031, a8=0.030, a15=0.029, a14=0.026, a17=0.026] [BUILD: SmallHouse]
  s=   31 a= 38(MANAGER:4) r= +1.0292 cum=    -18.89 v= +5.2069 top5=[a43=0.028, a15=0.027, a8=0.027, a24=0.025, a14=0.025]
  s=   32 a=  8(BUILD:Coalmine) r= -3.9773 cum=    -22.87 v= +5.2183 top5=[a43=0.028, a15=0.027, a8=0.027, a17=0.025, a11=0.025] [BUILD FAILED: Coalmine]
  s=   33 a= 40(MANAGER:6) r= -0.0709 cum=    -22.94 v= +5.1154 top5=[a43=0.028, a15=0.027, a8=0.027, a17=0.025, a11=0.024]
  s=   34 a=  2(BUILD:WaterChannel) r= +2.1604 cum=    -20.78 v= +5.0201 top5=[a43=0.028, a15=0.027, a8=0.027, a17=0.025, a11=0.024] [BUILD: WaterChannel]
  s=   35 a= 21(BUILD:BigFarm) r= -0.5529 cum=    -21.33 v= +6.0342 top5=[a43=0.029, a8=0.028, a15=0.027, a39=0.025, a14=0.025] [BUILD: BigFarm]
  s=   36 a= 42(MANAGER:8) r= -4.0276 cum=    -25.36 v= +5.9367 top5=[a43=0.029, a8=0.028, a15=0.027, a39=0.025, a14=0.025]
  s=   37 a=  3(BUILD:Farm) r= +0.6653 cum=    -24.70 v= +7.8185 top5=[a43=0.033, a15=0.029, a8=0.029, a39=0.026, a24=0.026] [BUILD: Farm]
  s=   38 a=  0(DAY) r= -0.4722 cum=    -25.17 v=+11.9231 top5=[a43=0.040, a8=0.036, a11=0.031, a14=0.029, a15=0.029]
  s=   39 a= 21(BUILD:BigFarm) r= -4.0687 cum=    -29.24 v= +9.8590 top5=[a43=0.036, a8=0.032, a11=0.029, a15=0.029, a14=0.027] [BUILD FAILED: BigFarm]
  s=   40 a= 41(MANAGER:7) r= -0.8712 cum=    -30.11 v= +8.9352 top5=[a43=0.034, a8=0.031, a15=0.028, a11=0.028, a39=0.027]
  s=   41 a=  2(BUILD:WaterChannel) r= +0.6671 cum=    -29.44 v= +8.4599 top5=[a43=0.034, a8=0.031, a15=0.028, a11=0.027, a39=0.027] [BUILD: WaterChannel]
  s=   42 a= 31(BUILD:AirStation) r= +4.1045 cum=    -25.34 v= +9.3722 top5=[a43=0.035, a8=0.032, a15=0.029, a11=0.028, a39=0.027] [BUILD: AirStation]
  s=   43 a= 20(BUILD:BigHouse) r= -0.8692 cum=    -26.21 v=+10.3263 top5=[a43=0.036, a8=0.033, a15=0.030, a11=0.028, a39=0.028] [BUILD: BigHouse]
  s=   44 a= 28(BUILD:BigRefinary) r= -4.0278 cum=    -30.23 v=+10.0305 top5=[a43=0.036, a8=0.032, a15=0.030, a11=0.028, a39=0.027] [BUILD FAILED: BigRefinary]
  s=   45 a=  2(BUILD:WaterChannel) r= +0.6509 cum=    -29.58 v= +9.7880 top5=[a43=0.035, a8=0.032, a15=0.029, a11=0.027, a39=0.027] [BUILD: WaterChannel]
  s=   46 a= 40(MANAGER:6) r= -0.3967 cum=    -29.98 v=+11.0524 top5=[a43=0.037, a8=0.032, a15=0.031, a39=0.028, a11=0.028]
  s=   47 a= 19(BUILD:Mushroom) r= -4.0622 cum=    -34.04 v=+10.8153 top5=[a43=0.037, a8=0.032, a15=0.031, a39=0.028, a11=0.028] [BUILD FAILED: Mushroom]
  s=   48 a= 32(BUILD:SmallAtomStation) r= -0.8842 cum=    -34.93 v=+10.6279 top5=[a43=0.037, a8=0.032, a15=0.030, a39=0.028, a11=0.028] [BUILD: SmallAtomStation]
  s=   49 a= 23(BUILD:Torchlight) r= -0.8954 cum=    -35.82 v=+10.4754 top5=[a43=0.036, a8=0.032, a15=0.030, a39=0.028, a11=0.027] [BUILD: Torchlight]
  s=   50 a= 22(BUILD:Apiary) r= +2.3847 cum=    -33.44 v=+10.3415 top5=[a43=0.036, a8=0.031, a15=0.030, a39=0.028, a11=0.027] [BUILD: Apiary]
    state: year=0 month=4 season=0 money=11105 credit=104596 people=28 busy=0 free=28 home_places=50 need_workers=5 tax_due=0 main_tax_due=0 tax_amount=8906 main_tax_amount=0 days_alive=51 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=4 Garden=2 Apiary=2 AirStation=1 | nw=1493637.9585
  s=   51 a=  4(BUILD:Garden) r= -0.7533 cum=    -34.19 v=+10.4502 top5=[a43=0.036, a8=0.031, a15=0.030, a39=0.028, a11=0.027] [BUILD: Garden]
  s=   52 a=  1(WEEK) r= -4.1210 cum=    -38.31 v=+10.3483 top5=[a43=0.036, a8=0.031, a15=0.030, a39=0.028, a11=0.027]
  s=   53 a= 15(BUILD:Fish) r= -0.9221 cum=    -39.23 v=+11.6352 top5=[a43=0.038, a8=0.033, a15=0.031, a39=0.028, a11=0.028] [BUILD: Fish]
  s=   54 a= 23(BUILD:Torchlight) r= -0.9308 cum=    -40.16 v=+11.4797 top5=[a43=0.038, a8=0.033, a15=0.031, a39=0.028, a11=0.028] [BUILD: Torchlight]
  s=   55 a= 35(MANAGER:1) r= -4.1559 cum=    -44.32 v= +9.3213 top5=[a43=0.032, a8=0.031, a15=0.029, a11=0.027, a30=0.027]
  s=   56 a= 11(BUILD:Goldmine) r= -0.9439 cum=    -45.26 v= +9.2380 top5=[a43=0.032, a8=0.031, a15=0.029, a11=0.027, a30=0.027] [BUILD: Goldmine]
  s=   57 a= 26(BUILD:BigSawmill) r= -0.9478 cum=    -46.21 v= +9.1288 top5=[a43=0.032, a8=0.030, a15=0.029, a11=0.027, a30=0.027] [BUILD: BigSawmill]
  s=   58 a= 38(MANAGER:4) r= -3.4692 cum=    -49.68 v= +9.0280 top5=[a43=0.032, a8=0.030, a15=0.029, a11=0.027, a30=0.027]
  s=   59 a=  7(BUILD:Sawmill) r= -0.9608 cum=    -50.64 v= +8.9218 top5=[a43=0.033, a8=0.030, a15=0.029, a11=0.027, a30=0.027] [BUILD: Sawmill]
  s=   60 a= 11(BUILD:Goldmine) r= -0.9650 cum=    -51.61 v= +8.8386 top5=[a43=0.033, a8=0.030, a15=0.029, a11=0.027, a30=0.027] [BUILD: Goldmine]
